CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID
BFTC-905,PIK3C,PIM1,3,3,3,0.3377574,80.47644109,1.45398329,0.7958554,9.76976121,47.83311,1,PIK3C.PIM1
CAMA-1,AKT_1,ESR1_1,3,3,0.283379177,0.231355,0,1.570571217,1.4319702,0,47.2247,1,AKT_1.ESR1_1
HCC70,AKT_1,EGFR,0.1,1,0.1,10,94.6000733,0.208934027,1.3842676,24.32719377,47.21543,1,AKT_1.EGFR
HCC1395,FGFR,MTOR_1,1,1,0.362513239,1.329707,30.76640912,0.012555043,1.7705714,51.98260189,47.21145,1,FGFR.MTOR_1
MDA-MB-453,ESR1_1,PIK3C,3,3,1.074279251,1.3801019,0,3,1.267985,49.65875815,47.09623,1,ESR1_1.PIK3C
BT-20,ESR1_1,PIK3C,3,0.1,1.023124978,10,41.99876028,1,0,100,47.01936,1,ESR1_1.PIK3C
SW48,MAP2K_1,PIK3C,10,3,0.149523495,1.1931825,12.91145948,0.105832324,1.5069984,28.11127786,46.57632,1,MAP2K_1.PIK3C
Calu-6,IAP,Topotecan,0.1,1,0.034594017,1.6411234,21.62052441,1.00E-04,0.1,37.16916878,46.49813,1,IAP.Topotecan
NCI-H1793,PIM1,TOP2_2,3,3,0.726660098,1.5421663,0,3,10,92.20006777,46.48285,1,PIM1.TOP2_2
NCI-H1299,Doxorubicin,TOP2,3,0.3,3,0.4719234,32.84637151,0.003126318,10,64.34998366,46.35798,1,Doxorubicin.TOP2
NCI-H1975,PIM1,TOP2_2,3,3,0.479149176,1.3810593,3.87453949,0.54272772,0.3088159,94.00824233,46.20775,1,PIM1.TOP2_2
SW837,IAP,IGFR_4,10,1,0.94977387,0.672925,0,1,0.8050843,32.90983886,46.17249,1,IAP.IGFR_4
NCI-H226,BRAF_M,MAP2K_1,3,3,1.519481245,0.5355549,0,0.064755564,0.9635187,85.12508579,46.08304,1,BRAF_M.MAP2K_1
CAL-51,BCL2_BCL2L1,EGFR,0.1,1,0.000822315,6.8245473,93.05034579,0.181423818,0.9854903,83.24169866,45.68423,-3,BCL2_BCL2L1.EGFR
MDA-MB-468,BCL2_BCL2L1,FASN,1,1,0.093557241,10,88.94988095,0.902379259,0.6597072,38.64076151,45.53811,1,BCL2_BCL2L1.FASN
BT-20,AKT,ALK_IGFR,1,1,0.99367847,1.6207407,0,0.321896863,10,86.69983407,45.51825,1,AKT.ALK_IGFR
HCC1395,AKT,FGFR,1,1,0.00946639,1.4350141,48.15495082,0.374680382,0.9209859,40.54520964,45.50561,1,AKT.FGFR
HT-1197,EG5,PIM1,3,3,0.542583926,10,91.19140898,3.00E-04,0.1,43.9163598,45.1207,1,EG5.PIM1
HCT-116,BCL2,Oxaliplatin,1,3,0.285753267,1.7726878,4.36930555,1.833795598,1.3488854,0,45.0912,1,BCL2.Oxaliplatin
SW900,BCL2,CarboTaxol,0.01,3,0.002845074,2.0434021,11.89081986,0.687075398,0.4001142,10.27271191,45.02714,1,BCL2.CarboTaxol
DMS-114,PIM1,TOP2_2,3,3,0.637077289,1.3609924,0,0.778399883,4.9033162,85.7805032,44.70102,1,PIM1.TOP2_2
COLO-205,MAP2K_1,PIK3C,10,1,1.043990443,1.3978268,9.55747921,0.049242339,1.4438055,8.98691368,44.43416,1,MAP2K_1.PIK3C
Hs-578-T,MTOR_1,PIK3CA_4,1,1,1,10,59.80002385,0.232330053,1.6652657,20.2180444,44.36827,1,MTOR_1.PIK3CA_4
HCC70,ALK_IGFR,PIK3CB_PIK3CD,1,1,0.156335875,1.2042932,0,1.00E-04,0.1,93.21526259,44.32309,1,ALK_IGFR.PIK3CB_PIK3CD
HT-1197,EG5,PIK3CB_PIK3CD,3,3,0.021910951,0.5970209,82.49495445,0.738002455,0.1,12.12231005,44.27238,1,EG5.PIK3CB_PIK3CD
SW948,BRAF_M2,MAP2K_1,0.1,3,0.1,10,89.00019883,1,0,100,44.25163,-1,BRAF_M2.MAP2K_1
NCI-H1563,ALK_2,PIK3CB,3,3,0.139323672,0.1,27.51893488,2.075669629,3.7011547,17.11523701,44.22527,-1,ALK_2.PIK3CB
CAMA-1,ESR1,MTOR_1,1,1,0.350564957,3.120065,24.85255957,0.045290246,1.3443999,52.43308249,44.15751,1,ESR1.MTOR_1
647-V,BCL2_BCL2L1,IAP,0.003,3,0.000605369,1.5531744,3.92557205,2.433265725,0.7178028,29.95022299,44.10317,1,BCL2_BCL2L1.IAP
HCC1395,MAP2K_1,PIK3C,3,3,0.877621116,1.898045,43.99572628,0.515371069,0.4976619,47.6607987,44.04867,-1,MAP2K_1.PIK3C
NCI-H226,CSNK2A1_2,PIK3CA_3,3,0.1,3,0.5497756,9.50689745,0.006500042,2.6020649,0,43.95368,-2,CSNK2A1_2.PIK3CA_3
MDA-MB-361,ESR1_1,PIK3C,3,3,0.39654229,0.9190162,0,3,0.1217477,47.09649742,43.87407,1,ESR1_1.PIK3C
HCC1937,ERBB,MAP2K_1,1,1,0.48596048,0.6678448,69.09869753,0.010755974,1.6426269,85.27363087,43.78416,1,ERBB.MAP2K_1
NCI-H1793,IAP,Topotecan,0.3,3,0.2012019,2.0985256,0,3,0.4225033,35.53288298,43.74522,1,IAP.Topotecan
BT-474,AKT_1,EGFR_2,1,1,0.137810888,1.4365156,10.36992065,0.183729034,1.2067246,0,43.64678,1,AKT_1.EGFR_2
NCI-H226,ALK_2,MTOR_1,3,3,0.17583133,1.0548565,8.93932727,0.82368746,0.8622233,0,43.55755,1,ALK_2.MTOR_1
HCC1806,AKT_1,PIK3C_2,1,1,0.402488977,3.8460988,13.56707636,0.258453868,2.4270847,24.82224268,43.48635,1,AKT_1.PIK3C_2
NCI-H1299,BCL2L1,IAP,1,3,0.071951401,1.1644778,34.93677967,1,0,100,43.44764,1,BCL2L1.IAP
NCI-H1793,BRAF_M2,MAP2K_3,0.3,3,0.002611377,0.4234972,15.77893979,3,1.1229202,41.09731574,43.42115,1,BRAF_M2.MAP2K_3
NCI-H1437,IAP,TOP2_2,3,1,0.507669479,1.1803752,1.75050748,1,0.3276377,26.18793393,43.32659,1,IAP.TOP2_2
NCI-H1563,IAP,PIK3CB,3,1,3,0.2787486,0.05474952,0.010151257,1.1075175,15.96023992,43.20076,1,IAP.PIK3CB
BT-474,AKT_1,PIK3C,3,3,0.344870299,1.1573738,0,0.21038508,1.6730378,8.96182097,43.08746,1,AKT_1.PIK3C
DU-4475,AKT_1,PIK3CB_PIK3CD,1,1,1,10,25.60002615,0.277710233,1.6488966,0,42.99064,-1,AKT_1.PIK3CB_PIK3CD
HCC1187,BCL2L1,PIK3C,3,3,0.321926044,1.0492901,11.22563531,0.016148778,0.2860604,50.41963922,42.93897,1,BCL2L1.PIK3C
HCC1395,Chloroquine,PIK3C,3,10,2.284236064,0.5529578,0,10,0.2555161,23.37858549,42.67767,-3,Chloroquine.PIK3C
SW837,IAP,PIK3C,10,1,0.629974767,1.0864387,46.51173742,0.213341117,1.2868918,57.83080975,42.66763,1,IAP.PIK3C
Calu-6,Doxorubicin,IAP,1,0.3,1.00E-04,0.1,36.74959004,0.041908699,1.7037014,23.66927437,42.58561,1,Doxorubicin.IAP
NCI-H226,ALK_2,TOP2,3,3,2.88165774,2.084269,0,1.289816035,1.0681904,0,42.49975,1,ALK_2.TOP2
MDA-MB-231,ALK_IGFR,MTOR_1,1,1,0.795061511,0.8096865,0,0.166414608,1.5117597,87.80944929,42.25022,1,ALK_IGFR.MTOR_1
NCI-H522,Doxorubicin,IAP,0.3,0.1,0.000602675,0.3946537,26.3893567,0.020758851,2.1681262,8.32714493,42.23113,1,Doxorubicin.IAP
NCI-H2228,AKT,CSNK2A1_2,0.1,3,0.03012002,0.7363036,0,0.346264705,0.5907502,0,42.21827,1,AKT.CSNK2A1_2
EVSA-T,ATR_4,CarboTaxol,0.1,3,0.018309175,4.9254724,6.77536097,3,0.3310061,67.84982621,42.2006,1,ATR_4.CarboTaxol
MDA-MB-157,MAP2K_1,MTOR_1,1,3,0.204038829,0.5130114,0,3,0.243342,33.92799872,42.19433,1,MAP2K_1.MTOR_1
NCI-H1975,ALK_2,MTOR_1,3,3,0.327497523,1.470866,16.58057678,0.455227439,0.977362,0,42.1773,1,ALK_2.MTOR_1
NCI-H522,BCL2L1,CarboTaxol,0.01,3,0.001689161,3.0971554,10.06198021,3,0.3926014,49.73794408,42.10996,1,BCL2L1.CarboTaxol
RT4,BCL2_BCL2L1,FGFR,3,3,0.676138494,0.695311,9.63190028,1.975967193,1.1010618,0,41.82546,1,BCL2_BCL2L1.FGFR
MDA-MB-157,BCL2_BCL2L1,SLC16A4,1,1,1,10,75.40005672,1,0,100,41.782,1,BCL2_BCL2L1.SLC16A4
HT-1197,PIK3C,PIM1,3,3,0.544402197,10,91.9661272,0.987689689,10,57.9991944,41.29233,1,PIK3C.PIM1
BT-20,MAP2K_1,MTOR_1,1,3,0.072435238,1.1822071,28.13700526,0.019898977,1.0127977,75.77313005,41.27628,1,MAP2K_1.MTOR_1
HCC1187,ESR1_3,MTOR_1,1,3,0.124904712,0.9349942,17.46440276,3.00E-04,0.1,78.61284928,41.05598,1,ESR1_3.MTOR_1
SW48,IGFR_3,TKI,3,10,0.013141369,0.8935106,23.82585356,0.28697767,1.2930672,24.93303283,41.05569,1,IGFR_3.TKI
UM-UC-3,ATR_4,BCL2_BCL2L1,3,3,3,0.6417365,8.89682002,0.915421913,2.4349532,45.0174881,40.95128,1,ATR_4.BCL2_BCL2L1
NCI-H1437,ALK,CSNK2A1_2,0.1,3,0.009939827,1.9911524,8.49421375,0.763934748,0.9640601,0,40.90406,1,ALK.CSNK2A1_2
HCC70,ERBB,MAP2K_1,1,1,0.232889306,10,88.78819871,1,0,100,40.77648,-1,ERBB.MAP2K_1
NCI-H1299,PIM1,TOP2_2,3,3,0.466653249,0.9214718,1.61804789,3.00E-04,0.1,85.61244034,40.73554,1,PIM1.TOP2_2
CAMA-1,MTOR_1,PIK3C,1,1,1,10,77.60170979,0.980530597,10,0,40.70774,-1,MTOR_1.PIK3C
HCC1419,AKT_1,EGFR_2,1,1,0.291665295,10,67.89885187,0.07707165,2.4759645,44.63447506,40.49601,-1,AKT_1.EGFR_2
MDA-MB-157,BCL2L1,PIK3C,3,3,0.587512471,0.7398923,49.41575379,3.00E-04,0.1,75.0420409,40.40864,1,BCL2L1.PIK3C
HCC1954,AKT_1,Chloroquine,10,3,10,10,71.60005667,1.74914639,0.8050011,0,40.21481,1,AKT_1.Chloroquine
J82,ERBB,FGFR,3,3,0.485298921,0.4013465,45.39587961,3.00E-04,0.1,83.73521545,40.04342,1,ERBB.FGFR
MDA-MB-157,ERBB,FGFR,1,1,0.036920388,1.2252513,30.94015628,0.258404635,10,72.19895717,39.6997,1,ERBB.FGFR
MDA-MB-157,FGFR,MTOR_1,1,1,0.287347646,10,54.29931962,0.038929872,2.1024064,35.72466213,39.65426,1,FGFR.MTOR_1
Hs-578-T,AKT,ALK_IGFR,1,1,1,10,72.00057395,0.300913471,10,66.89948133,39.41124,1,AKT.ALK_IGFR
UM-UC-3,BCL2_BCL2L1,PIM1,3,3,1,0,100,0.575215059,0.6950514,28.74865914,39.24142,1,BCL2_BCL2L1.PIM1
HCC1187,AKT_1,PIK3C,1,1,0.28421544,10,27.99943777,0.142855051,2.3550871,45.54347266,39.19775,1,AKT_1.PIK3C
NCI-H2170,CSNK2A1_2,SYK,3,0.03,1,0,100,0.009912166,10,16.09868643,39.0889,1,CSNK2A1_2.SYK
NCI-H2291,Doxorubicin,TOP2,3,0.1,3,1.1521733,47.24391859,0.024114493,4.2591694,48.68082146,39.05313,1,Doxorubicin.TOP2
HCC1500,FGFR,PIK3C_MTOR,1,1,0.100893779,1.759363,0,0.78311744,0.5815926,0,38.96104,1,FGFR.PIK3C_MTOR
NCI-H1437,BCL2L1,Vinorelbine,0.3,3,0.031273478,1.8666338,0,0.149515447,0.7718601,77.5807281,38.93013,1,BCL2L1.Vinorelbine
HCC1806,PIK3C,PIM1,1,1,0.342982219,10,86.99970338,0.303924606,5.3531857,18.36121097,38.75904,1,PIK3C.PIM1
HCC1143,MAP2K_1,PIK3C,1,1,0.157909735,1.1986159,47.15453676,0.032792819,0.7784497,48.20007183,38.74999,1,MAP2K_1.PIK3C
MDA-MB-231,MTOR_1,PIK3C,1,1,0.212583432,0.7299199,53.68895763,0.212832542,1.7601422,34.27641404,38.73388,1,MTOR_1.PIK3C
BT-20,ERBB,MTOR_1,1,3,0.079548,1.5110494,30.31123409,0.023267026,10,72.59999748,38.62213,1,ERBB.MTOR_1
NCI-H1793,Doxorubicin,IAP,3,0.1,3,0.5032573,31.75384525,0.054294554,2.1883572,9.4618124,38.59413,1,Doxorubicin.IAP
NCI-H1793,ALK_2,TOP2,3,3,2.088923611,1.1851309,0,3,0.7054285,25.04640108,38.39177,1,ALK_2.TOP2
MDA-MB-231,ALK_IGFR,PIK3CB_PIK3CD,1,1,0.348510167,10,88.49969347,1,10,84.20006856,38.33444,1,ALK_IGFR.PIK3CB_PIK3CD
NCI-H522,BCL2L1,Vinorelbine,0.01,3,0.01,10,87.60049194,3,0.2709362,61.99795352,38.09322,1,BCL2L1.Vinorelbine
M14,AKT_1,PIK3CB_PIK3CD,1,1,0.563091136,1.6405266,0,0.335847727,10,90.99980955,38.00554,1,AKT_1.PIK3CB_PIK3CD
CAMA-1,PIK3CB_PIK3CD,TNKS_PARP6,1,1,0.026809923,1.9075689,23.01519354,0.163415476,1.9050122,22.12853971,37.88414,1,PIK3CB_PIK3CD.TNKS_PARP6
NCI-H1299,IAP,PIK3CB,3,1,1.081035273,1.6201776,77.50007341,0.063852628,1.1648789,32.07884183,37.87168,1,IAP.PIK3CB
NCI-H522,IAP,Topotecan,0.01,0.3,0.01,0.4363845,21.86358265,0.003013068,0.2179174,0,37.86462,1,IAP.Topotecan
HCC1806,MAP2K_1,PIM1,1,1,0.396747694,10,80.89815412,0.258670194,1.0693857,17.23427133,37.84039,1,MAP2K_1.PIM1
T-24,ATR_4,IAP,1,3,1,0,100,1.055625142,10,10.29733964,37.80441,-1,ATR_4.IAP
J82,AKT,TNF,0.1,3,0.1,0.3892358,46.63112045,0.635865702,0.77915,21.384607,37.71558,1,AKT.TNF
NCI-H226,BCL2,CSNK2A1_2,0.1,3,0.004098438,2.0361443,0,3,0.6798308,15.46200044,37.62887,-2,BCL2.CSNK2A1_2
NCI-H226,CSNK2A1_2,TNFSF10,0.03,0.1,0.01112275,10,80.89906207,0.005038402,2.1746394,0,37.45441,-2,CSNK2A1_2.TNFSF10
SW900,BCL2,Topotecan,0.1,3,0.045385938,2.3060999,40.17315642,0.138925832,1.2322262,47.21175197,37.37314,1,BCL2.Topotecan
T47D,BCL2L1,IAP,3,3,3.00E-04,0.1,69.54209281,0.133285358,0.1,69.93445545,37.3667,1,BCL2L1.IAP
BT-549,AKT,FGFR,1,1,0.101135905,3.1136298,68.98926885,0.168647072,1.0782794,47.21380863,37.32471,1,AKT.FGFR
RT4,FGFR,PIK3C_MTOR,1,3,1,0,100,0.426747272,0.9887709,32.43041382,37.25778,1,FGFR.PIK3C_MTOR
SW900,ALK,PIK3C,3,3,0.718268066,0.7975849,17.75256089,1.589144236,0.8130275,0,37.18965,1,ALK.PIK3C
M14,ADAM17,PIK3C,1,75,0.308036694,10,55.09962372,0.0075,0.1,94.2352171,37.07141,1,ADAM17.PIK3C
CAL-148,ERBB,MAP2K_1,1,1,1,0,100,1,0,100,36.9506,1,ERBB.MAP2K_1
NCI-H226,BCL2L1,CarboTaxol,0.01,3,0.001604559,1.3532907,13.93384443,3,0.3200215,19.43804175,36.85192,1,BCL2L1.CarboTaxol
MDA-MB-453,PIK3CB_PIK3CD,TNKS_PARP6,1,1,0.016529307,1.5896901,14.24001271,0.183146951,2.3905439,45.89227536,36.68631,1,PIK3CB_PIK3CD.TNKS_PARP6
HCC70,ADAM17,PIK3C,1,75,0.359904181,10,42.59790667,1,0,100,36.66062,1,ADAM17.PIK3C
MDA-MB-361,BCL2L1,MTOR_1,1,3,0.14547154,0.9251514,32.38031123,0.205472711,0.7142685,54.61687576,36.53315,1,BCL2L1.MTOR_1
NCI-H2085,ADAM17,PIK3C,3,10,0.391458742,0.8741077,5.85805867,10,0.2981032,34.46089836,36.53175,1,ADAM17.PIK3C
NCI-H1793,PIK3CB,Topotecan,0.3,3,0.240933575,1.9951379,0,2.247206726,0.4936001,38.18124919,36.33373,1,PIK3CB.Topotecan
NCI-H1703,BRAF_M2,MAP2K_3,0.3,1,0.3,0.2491917,29.12414135,0.104290893,1.7876139,21.77612961,36.30788,1,BRAF_M2.MAP2K_3
NCI-H838,IAP,Topotecan,0.3,1,0.082986917,1.7788788,0,0.004223756,0.4994568,16.34933182,36.29228,1,IAP.Topotecan
BT-474,BCL2L1,MTOR_1,1,3,0.141944925,4.4236907,26.09628073,0.411643161,2.557042,66.00268703,36.22799,-1,BCL2L1.MTOR_1
SW900,IAP,PIK3CA_3,3,3,3,0.5412492,35.42875985,0.456068874,0.1938179,0,36.19486,1,IAP.PIK3CA_3
Hs-578-T,AKT_1,PIK3C_2,1,1,0.457570166,1.6600615,31.1112884,0.17661627,2.0482346,60.96336647,36.18777,-1,AKT_1.PIK3C_2
HCC1806,ALK_IGFR,MTOR_1,1,1,0.238087169,1.2235345,0,0.316964275,10,34.39932185,36.16877,1,ALK_IGFR.MTOR_1
NCI-H23,Doxorubicin,TOP2,3,0.1,3,0.874108,20.70878475,0.015070334,1.0030535,3.93509535,36.10596,1,Doxorubicin.TOP2
647-V,ERBB,MTOR_1,1,0.1,0.329479088,10,53.0992914,0.031404471,10,87.09984089,35.98297,1,ERBB.MTOR_1
MDA-MB-231,MAP2K_1,PIK3C,1,1,1,0.3861651,24.5046499,0.745789983,0.4787667,0,35.97158,1,MAP2K_1.PIK3C
BFTC-905,MAP2K_1,MTOR_1,3,3,0.331944799,1.9827952,27.82696614,1.577157833,1.2351959,0,35.94197,1,MAP2K_1.MTOR_1
MDA-MB-231,BCL2_BCL2L1,SLC16A4,1,1,0.25713205,1.6857585,37.54311111,0.33877285,2.3622161,57.76191056,35.91136,1,BCL2_BCL2L1.SLC16A4
RKO,IGFR_3,MAP2K_1,3,10,2.979597156,0.9633806,0,10,10,74.60025347,35.86891,1,IGFR_3.MAP2K_1
VM-CUB-1,MTOR_1,PIK3C,3,1,1.685067568,1.6984334,30.27457566,0.373169992,2.6877481,39.82780551,35.7663,1,MTOR_1.PIK3C
HCC1187,MAP2K_1,MTOR_1,1,3,0.083058992,0.8263042,25.13458412,0.280103428,1.0269724,68.12476266,35.67651,1,MAP2K_1.MTOR_1
MDA-MB-453,AKT_1,EGFR,0.1,1,0.059930122,0.5131004,0,0.064469903,0.8818056,3.10565974,35.65096,1,AKT_1.EGFR
HT-1197,IAP,PIK3C,3,3,1.248209841,1.8965375,55.85042637,3,10,32.40010175,35.633,1,IAP.PIK3C
NCI-H226,IAP,PIK3CB,3,3,3,0.8690747,36.90021247,3.00E-04,0.1,12.92215099,35.57842,1,IAP.PIK3CB
HCC1143,ADAM17,AKT,1,75,0.398673201,10,89.09889359,1,0,100,35.53277,-1,ADAM17.AKT
MDA-MB-453,BCL2_BCL2L1,EGFR,0.1,1,0.01085771,1.4428002,47.71073909,1,0.5143428,57.00407916,35.51502,1,BCL2_BCL2L1.EGFR
T47D,MAP2K_1,MTOR_1,1,3,0.096842656,1.0956496,9.40124575,3,0.3338109,66.43785045,35.50456,1,MAP2K_1.MTOR_1
NCI-H2170,BCL2L1,Vinorelbine,0.03,3,0.003792636,0.40151,0,0.429473075,1.0999521,18.41286582,35.46388,1,BCL2L1.Vinorelbine
NCI-H2170,IAP,Vinorelbine,0.03,3,0.010481153,2.4017518,43.07347215,3,0.2672873,61.11311313,35.43825,1,IAP.Vinorelbine
BFTC-905,HSP90,MAP2K_1,3,3,1.590871996,1.2008583,0,0.123365261,2.0524849,0.24206233,35.24843,1,HSP90.MAP2K_1
NCI-H226,IAP,Vinorelbine,0.03,3,0.008956872,1.4711595,6.48863916,3.00E-04,0.1,0.37151604,35.226,1,IAP.Vinorelbine
MCF7,AKT,CSNK2A1_2,0.1,3,0.010092765,1.48297,9.62327807,1.080292608,0.7539209,0,35.20325,1,AKT.CSNK2A1_2
NCI-H226,IAP,TOP2_2,1,3,0.142062858,1.0548732,1.45645703,3.00E-04,0.1,11.48955313,35.09351,1,IAP.TOP2_2
HT-1197,AKT,TNF,0.1,1,0.001029262,1.0788876,53.25729981,1,0.3333529,13.37095066,35.02862,1,AKT.TNF
MDA-MB-157,ADAM17,PIK3C,1,75,0.213489145,0.8908223,54.80015184,33.76955423,1.397694,92.88769551,34.97328,1,ADAM17.PIK3C
DMS-114,ATR_4,CarboTaxol,0.01,3,0.001788593,2.9318653,10.63963379,1.060264718,10,41.29821348,34.95805,1,ATR_4.CarboTaxol
MDA-MB-175-VII,AKT_1,EGFR_2,1,1,0.18777031,1.4278442,2.76914167,0.188729234,2.805901,32.6250633,34.931,-1,AKT_1.EGFR_2
NCI-H1975,ALK,PIK3C,3,3,0.442902194,1.5139316,19.37206003,0.636764368,1.4439058,0.37782795,34.9084,1,ALK.PIK3C
NCI-H358,CHEK1,IAP,3,1,3.00E-04,0.1,82.81619263,0.428672535,10,30.6854789,34.8975,1,CHEK1.IAP
MDA-MB-468,BCL2_BCL2L1,PIM1,1,1,0.09874821,10,92.84992738,1,0.7143694,33.2665819,34.87431,1,BCL2_BCL2L1.PIM1
NCI-H226,ALK,PIK3C,3,3,1.987828131,1.0037775,0,0.385909037,1.4844455,0,34.84727,1,ALK.PIK3C
MDA-MB-468,AKT,EGFR,0.1,1,0.016132163,2.3026241,76.02143736,0.595273188,0.8602376,0,34.80409,1,AKT.EGFR
NCI-H23,IAP,TOP2_2,1,1,0.114594394,1.3979515,9.47809929,0.00176209,0.3784322,45.53575554,34.77333,1,IAP.TOP2_2
HCC1569,BCL2L1,PIK3C,3,3,0.963147867,0.502882,0,0.072234694,0.7944569,33.53351635,34.69914,1,BCL2L1.PIK3C
BT-20,AKT,EGFR,0.1,1,0.028760877,10,74.4998855,0.223125187,2.0931065,88.45374281,34.64965,1,AKT.EGFR
MDA-MB-453,AKT_1,PIK3C,1,1,0.218406657,2.7946779,11.8723551,0.091568837,1.296688,7.8268387,34.57878,1,AKT_1.PIK3C
HCC1569,AKT_1,BCL2L1,3,3,0.094450979,0.7823712,30.87167874,0.864395116,0.3985121,0,34.56813,1,AKT_1.BCL2L1
NCI-H2228,ALK_2,PIK3CB,3,3,3,0.6207351,17.19878436,0.010570606,0.2609588,0,34.53177,1,ALK_2.PIK3CB
HCC70,AKT_SGK,MAP2K_1,1,1,1,0.7843244,35.03358251,0.445496634,1.0240169,0,34.50574,1,AKT_SGK.MAP2K_1
NCI-H522,CSNK2A1_2,TNFSF10,0.03,0.03,0.03,0.5806547,62.64787189,0.004091227,2.6136937,2.97465606,34.45437,1,CSNK2A1_2.TNFSF10
HT-1376,BCL2_BCL2L1,IAP,3,3,0.014368226,0.1830279,0,3,0.8120729,20.76031242,34.45161,1,BCL2_BCL2L1.IAP
NCI-H1975,CSNK2A1_2,PIK3CA_3,3,0.03,1.267640239,2.1602633,54.48245018,0.022233089,2.3791539,0,34.44695,1,CSNK2A1_2.PIK3CA_3
Calu-3,ALK,PIK3C,3,3,3,10,43.40056263,2.803750255,10,0,34.40694,-1,ALK.PIK3C
NCI-H1299,BCL2,Topotecan,0.1,3,0.020725774,3.5850679,29.53680842,1.151551411,10,94.89964509,34.28769,1,BCL2.Topotecan
HCC1143,ADAM17,PIK3CB_PIK3CD,1,75,0.221232701,0.7390243,61.40457616,0.88526659,10,84.99989563,34.24538,1,ADAM17.PIK3CB_PIK3CD
J82,MAP2K_1,MTOR_1,3,3,1.080224,0.820321,0,3,0.2944827,16.66454603,34.14089,1,MAP2K_1.MTOR_1
NCI-H1793,BCL2,CarboTaxol,0.01,3,0.002244563,10,17.19310835,0.367526267,1.5432438,33.69433702,34.05646,1,BCL2.CarboTaxol
UACC-812,AKT_1,EGFR_2,1,1,0.022181083,2.9368756,37.70882956,1,0,100,34.01387,1,AKT_1.EGFR_2
HCC38,ERBB,MAP2K_1,1,1,0.042069364,0.6920342,77.69904131,1.00E-04,0.1,72.82270966,34.01219,1,ERBB.MAP2K_1
CAMA-1,AKT_1,ESR1,1,1,0.054632006,1.3999442,56.8561087,0.317909498,10,29.79924442,33.99801,1,AKT_1.ESR1
TCCSUP,AKT,Cisplatin,3,3,0.512936369,2.1895842,14.25281252,0.449855835,1.1083104,59.85113188,33.95664,1,AKT.Cisplatin
NCI-H1299,ALK,MTOR_1,3,3,0.208949492,1.3577452,8.58032935,0.640027783,1.1121108,0,33.92858,1,ALK.MTOR_1
MDA-MB-157,BCL2L1,MTOR_1,1,3,0.258991515,0.5886233,0,3.00E-04,0.1,77.66766928,33.89171,1,BCL2L1.MTOR_1
SW900,BCL2L1,Vinorelbine,0.1,3,0.021722427,1.0853101,12.23574735,0.025823282,1.3076691,57.4440505,33.86636,1,BCL2L1.Vinorelbine
MFM-223,AKT,FGFR,1,1,0.12441562,0.5561916,2.73981326,0.179201241,1.0399857,2.63832935,33.79264,1,AKT.FGFR
MFM-223,AKT_1,PIK3C,1,1,0.349564148,0.9560361,21.40405424,0.245337265,0.8134426,3.80159122,33.47378,1,AKT_1.PIK3C
J82,PIK3C,PIM1,3,3,0.09631107,1.8569083,85.88828964,1.450583142,0.8210556,0,33.36653,1,PIK3C.PIM1
CAMA-1,AKT_SGK,BCL2_BCL2L1,1,1,0.268070599,2.6930948,80.55039541,0.128380874,1.5223062,7.71249275,33.1404,1,AKT_SGK.BCL2_BCL2L1
M14,BCL2_BCL2L1,MAP2K_1,1,1,0.26702757,0.6987678,0,0.083722364,0.5565502,0,33.06074,1,BCL2_BCL2L1.MAP2K_1
MDA-MB-453,ATR_4,BCL2_BCL2L1,1,1,0.258604392,10,86.99952034,0.181518128,2.1922764,6.11112292,33.05702,1,ATR_4.BCL2_BCL2L1
A549,BCL2,Topotecan,0.3,3,0.117060122,10,13.69293653,0.117612966,0.8749105,3.49126349,33.01095,-2,BCL2.Topotecan
NCI-H358,ALK,MTOR_1,3,3,0.286526726,1.0504882,22.8936109,0.70710611,0.8589063,0,33.00217,1,ALK.MTOR_1
MDA-MB-453,AKT_1,PIK3CB_PIK3CD,1,1,0.428618353,0.8012259,0,0.075278588,1.0404728,4.06263795,32.99623,1,AKT_1.PIK3CB_PIK3CD
MCF7,ESR1_3,MTOR_1,1,3,0.1171657,1.7901112,12.68716746,0.103888136,3.999231,63.34617488,32.98485,1,ESR1_3.MTOR_1
NCI-H520,Doxorubicin,TOP2,3,0.1,0.968341506,10,60.49951396,0.03315797,2.7095469,48.74345976,32.95065,1,Doxorubicin.TOP2
CAL-148,BCL2_BCL2L1,SLC16A4,1,1,1,0,100,0.282624772,2.4071344,35.64583024,32.95021,1,BCL2_BCL2L1.SLC16A4
NCI-H1563,BCL2,CSNK2A1_2,0.03,3,0.012594442,1.3066145,0,3,1.4972088,0,32.83178,1,BCL2.CSNK2A1_2
M14,EGFR,MAP2K_1,1,0.1,0.185574243,0.8362116,4.68614319,0.095983777,0.6894753,0,32.81099,1,EGFR.MAP2K_1
NCI-H358,IAP,Topotecan,0.1,3,0.040593357,0.879041,0,3.00E-04,0.1,73.79178643,32.78066,1,IAP.Topotecan
HCC1569,BCL2L1,MTOR_1,1,3,0.186072845,0.4549854,0,0.098668909,1.0751946,39.66782241,32.77316,1,BCL2L1.MTOR_1
